Date,Time,Signal1,Signal2,Signal3,Signal4
8/23/16,13:30,1,71.83,70.21,71.68
8/23/16,16:00,0,71.69,71.35,71.67
8/24/16,13:30,0,71.9,70.87,70.93
8/24/16,16:00,0,71.47,70.82,71.07
8/25/16,13:30,0,71.11,70.45,71.03
8/25/16,16:00,0,71.06,69.98,70
8/26/16,13:30,0,70.46,69.47,69.66
8/26/16,16:00,0,69.8,69.2,69.75
8/29/16,13:30,0,70.11,69.42,69.61
8/29/16,16:00,0,70.02,69.58,69.98
8/30/16,13:30,0,70.46,69.94,70.11
8/30/16,16:00,0,70.22,69.84,70.13
8/31/16,13:30,0,71.5,70.06,70.83
8/31/16,16:00,0,71.47,70.82,71.1
9/1/16,13:30,0,73.15,71.56,72.32
9/1/16,16:00,0,72.77,72.19,72.75
9/2/16,13:30,0,71.9,70.1,70.15
9/2/16,16:00,0,70.25,69.99,70.01
9/6/16,13:30,0,70,69.27,69.34
9/6/16,16:00,0,69.37,68.95,69.08
9/7/16,13:30,0,68.68,66.86,67.15
9/7/16,16:00,0,67.54,66.9,66.9
9/8/16,13:30,0,67.07,65.91,66.04
9/8/16,16:00,0,66.15,65.78,66.05
9/9/16,13:30,0,66.51,65.48,65.66
9/9/16,16:00,0,66.19,65.37,65.95
9/12/16,13:30,0,66.97,65.1,66.5
9/12/16,16:00,0,67.74,66.41,67.52
9/13/16,13:30,0,67.69,66.69,67.69
9/13/16,16:00,0,67.84,67.14,67.59
9/14/16,13:30,0,68.33,66.97,68
9/14/16,16:00,0,68.04,67.44,67.69
9/15/16,13:30,0,67.94,67.22,67.68
9/15/16,16:00,0,67.84,67.15,67.35
9/16/16,13:30,0,67.21,66.12,66.23
9/16/16,16:00,0,66.66,66.03,66.31
9/19/16,13:30,0,66.88,65.64,65.65
9/19/16,16:00,0,66.1,65.45,65.48
9/20/16,13:30,0,68.48,66.01,68.29
9/20/16,16:00,0,68.75,68.23,68.42
9/21/16,13:30,0,68.82,67.17,67.34
9/21/16,16:00,0,67.93,67.06,67.85
9/22/16,13:30,0,71,68.22,70.95
9/22/16,16:00,0,71.1,70.57,70.99
9/23/16,13:30,0,72.06,69.85,71.87
9/23/16,16:00,0,72.31,71.64,71.99
9/26/16,13:30,0,73.38,70.74,71.02
9/26/16,16:00,0,71.57,70.99,71.46
9/27/16,13:30,0,73.88,71.57,73.84
9/27/16,16:00,0,74.43,73.82,74.37
9/28/16,13:30,0,74.84,73.64,74.2
9/28/16,16:00,0,74.46,73.97,74.21
9/29/16,13:30,0,74.56,73.7,74.01
9/29/16,16:00,0,74.51,73.84,74.24
9/30/16,13:30,0,75.73,73.96,75.24
9/30/16,16:00,0,75.47,74.92,74.94
10/3/16,13:30,0,75.36,74.03,74.45
10/3/16,16:00,0,74.72,74.44,74.57
10/4/16,13:30,0,75.37,74.49,74.59
10/4/16,16:00,0,75.25,74.53,75.23
10/5/16,13:30,0,75.5,74.29,75.17
10/5/16,16:00,0,75.23,74.83,74.85
10/6/16,13:30,0,75.04,74.15,74.49
10/6/16,16:00,0,75.09,74.48,74.84
10/7/16,13:30,0,75.16,73.85,73.96
10/7/16,16:00,0,74.09,73.69,73.69
10/10/16,13:30,0,74.5,73.79,73.82
10/10/16,16:00,0,73.88,73.6,73.71
10/11/16,13:30,0,73.72,72.47,72.64
10/11/16,16:00,0,72.66,71.9,72.34
10/12/16,13:30,0,72.73,71.72,72.47
10/12/16,16:00,0,72.89,72.25,72.38
10/13/16,13:30,0,71.93,71.23,71.79
10/13/16,16:00,0,72.33,71.79,72.08
10/14/16,13:30,0,72.54,70.24,70.46
10/14/16,16:00,0,70.61,69.96,69.97
10/17/16,13:30,0,70,68.67,68.75
10/17/16,16:00,0,69.17,68.75,68.79
10/18/16,13:30,0,70.95,69.56,70.26
10/18/16,16:00,0,70.35,69.95,70.04
10/19/16,13:30,0,71.14,69.53,71.01
10/19/16,16:00,0,71.1,70.7,70.83
10/20/16,13:30,0,70.81,69.51,70.37
10/20/16,16:00,0,70.63,70.24,70.48
10/21/16,13:30,0,70.39,69.32,69.46
10/21/16,16:00,0,69.75,69.35,69.37
10/24/16,13:30,0,70.94,69.81,70.32
10/24/16,16:00,0,70.69,70.25,70.35
10/25/16,13:30,0,70.66,69.84,70.6
10/25/16,16:00,0,70.8,70.54,70.64
10/26/16,13:30,0,70.44,69.69,70.17
10/26/16,16:00,0,70.2,69.8,69.9
10/27/16,13:30,0,69.4,67.88,68.1
10/27/16,16:00,0,68.2,67.53,68.07
10/28/16,13:30,0,75.46,71.5,74.35
10/28/16,16:00,0,74.91,73.98,74.47
10/31/16,13:30,0,77.35,74.85,77.33
10/31/16,16:00,0,77.5,76.82,76.87
11/1/16,13:30,0,77.78,75.05,75.26
11/1/16,16:00,0,76.44,74.62,76.23
11/2/16,13:30,0,76.85,75.04,75.19
11/2/16,16:00,0,75.55,74.9,75.03
11/3/16,13:30,0,76.69,75.41,75.88
11/3/16,16:00,0,76.21,75.78,76.09
11/4/16,13:30,0,76.89,76.09,76.34
11/4/16,16:00,0,76.36,75.15,75.23
11/7/16,13:30,0,76.77,75.56,76.56
11/7/16,16:00,0,76.74,75.92,76.48
11/8/16,13:30,0,77.4,75.98,77.2
11/8/16,16:00,0,77.8,77.02,77.56
11/9/16,13:30,0,78.73,75.8,78.47
11/9/16,16:00,0,79.47,78.4,79
11/10/16,13:30,0,81.63,79.22,81.07
11/10/16,16:00,0,81.33,80.26,80.36
11/11/16,13:30,0,82.13,80.36,81.35
11/11/16,16:00,0,81.79,81.35,81.74
11/14/16,13:30,0,84.32,82.32,83.75
11/14/16,16:00,0,84.5,83.48,84.06
11/15/16,13:30,0,84.15,82.87,82.94
11/15/16,16:00,0,83.09,82.7,82.99
11/16/16,13:30,0,82.95,81.75,82.15
11/16/16,16:00,0,82.51,82.09,82.4
11/17/16,13:30,0,83.42,82.08,83.24
11/17/16,16:00,0,83.3,82.8,82.89
11/18/16,13:30,0,83.12,82.08,83.04
11/18/16,16:00,0,83.36,82.86,82.95
11/21/16,13:30,0,83.59,82.32,82.57
11/21/16,16:00,0,82.82,82.52,82.66
11/22/16,13:30,0,83.23,82.23,82.62
11/22/16,16:00,0,82.77,82.45,82.49
11/23/16,13:30,0,82.87,82.08,82.27
11/23/16,16:00,0,82.6,82.22,82.58
11/25/16,13:30,0,83.35,82.01,83.02
11/25/16,16:00,0,83.02,83.02,83.02
11/28/16,13:30,0,82.87,81.32,81.88
11/28/16,16:00,0,82.03,81.5,81.51
11/29/16,13:30,0,82.64,81.75,82.47
11/29/16,16:00,0,82.98,82.44,82.92
11/30/16,13:30,0,82.59,80.1,81.11
11/30/16,16:00,0,81.3,80.85,81
12/1/16,13:30,0,80.78,78.79,79.05
12/1/16,16:00,0,79.37,78.77,79.29
12/2/16,13:30,0,79.97,79.1,79.72
12/2/16,16:00,0,79.78,79.46,79.55
12/5/16,13:30,0,82.5,79.86,81.24
12/5/16,16:00,0,81.41,80.92,81.04
12/6/16,13:30,0,81.7,80.87,81.7
12/6/16,16:00,0,81.79,81.08,81.14
