Date,Time,Open,High,Low,Close,Up,Down
5/2/21,6:30:00 PM,4172,4177.5,4172,4177.25,3578,2536
5/2/21,7:00:00 PM,4177.25,4178.5,4175.75,4177.25,1168,1113
5/2/21,7:30:00 PM,4177.25,4178.5,4176.75,4177.25,1200,1349
5/2/21,8:00:00 PM,4177,4179,4177,4178.5,1281,765
5/2/21,8:30:00 PM,4178.5,4182.5,4177.75,4181.5,2647,2150
5/2/21,9:00:00 PM,4181.75,4184.75,4181.5,4183.75,2377,1598
5/2/21,9:30:00 PM,4184,4184.5,4181.5,4182,2306,2381
5/2/21,10:00:00 PM,4182,4182.25,4178,4179,2029,2791
5/2/21,10:30:00 PM,4179,4179,4175.5,4177.5,2204,2081
5/2/21,11:00:00 PM,4177.5,4178,4176.25,4177.25,844,1185
5/2/21,11:30:00 PM,4177.5,4179.5,4177.25,4177.5,902,878
5/3/21,12:00:00 AM,4177.5,4179,4177.25,4179,480,287
5/3/21,12:30:00 AM,4178.75,4178.75,4176.5,4177,350,703
5/3/21,1:00:00 AM,4177,4178.5,4176.5,4178,475,258
5/3/21,1:30:00 AM,4178.25,4178.25,4175.75,4175.75,647,735
5/3/21,2:00:00 AM,4176,4176,4173.5,4174.25,891,1070
5/3/21,2:30:00 AM,4174.25,4177.25,4173,4177.25,1544,1185
5/3/21,3:00:00 AM,4177.25,4179,4176.5,4178.75,1264,1336
5/3/21,3:30:00 AM,4178.5,4190,4178.5,4186.75,6832,5247
5/3/21,4:00:00 AM,4186.5,4188.5,4185.75,4186.75,3034,2926
5/3/21,4:30:00 AM,4187,4187.25,4182.75,4183,2636,2824
5/3/21,5:00:00 AM,4183,4186.75,4182.75,4184.25,2564,2543
5/3/21,5:30:00 AM,4184.25,4185,4178,4178,2468,3302
5/3/21,6:00:00 AM,4178,4178.25,4173.5,4178.25,4606,4214
5/3/21,6:30:00 AM,4178.25,4182,4177.75,4181,2609,1834
5/3/21,7:00:00 AM,4181,4188.5,4181,4184.75,4342,4157
5/3/21,7:30:00 AM,4184.5,4189,4184.5,4188,4646,4228
5/3/21,8:00:00 AM,4188,4189.25,4184.75,4185.75,3394,3172
5/3/21,8:30:00 AM,4185.5,4188.5,4185.5,4186.5,4740,4830
