Date,Time,Open,High,Low,Close,Up,Down
08/23/2016,13:30,70.31,71.83,70.21,71.68,475334,531301
08/23/2016,16:00,71.68,71.69,71.35,71.67,425587,481315
08/24/2016,13:30,71.55,71.9,70.87,70.93,682413,501367
08/24/2016,16:00,70.93,71.47,70.82,71.07,843188,776667
08/25/2016,13:30,70.52,71.11,70.45,71.03,241610,275630
08/25/2016,16:00,71.04,71.06,69.98,70.0,660253,938498
08/26/2016,13:30,70.25,70.46,69.47,69.66,526001,540628
08/26/2016,16:00,69.66,69.8,69.2,69.75,216604,213339
08/29/2016,13:30,69.79,70.11,69.42,69.61,286348,211970
08/29/2016,16:00,69.61,70.02,69.58,69.98,540011,300792
08/30/2016,13:30,70.11,70.46,69.94,70.11,216836,223409
08/30/2016,16:00,70.1,70.22,69.84,70.13,141666,131333
08/31/2016,13:30,70.06,71.5,70.06,70.83,732708,711169
08/31/2016,16:00,70.83,71.47,70.82,71.1,491675,478075
09/01/2016,13:30,71.76,73.15,71.56,72.32,782467,730665
09/01/2016,16:00,72.33,72.77,72.19,72.75,341230,301631
09/02/2016,13:30,71.9,71.9,70.1,70.15,590309,678855
09/02/2016,16:00,70.14,70.25,69.99,70.01,374547,440891
09/06/2016,13:30,69.87,70.0,69.27,69.34,320493,289869
09/06/2016,16:00,69.34,69.37,68.95,69.08,319311,377630
09/07/2016,13:30,68.41,68.68,66.86,67.15,845755,904840
09/07/2016,16:00,67.14,67.54,66.9,66.9,523681,717726
09/08/2016,13:30,66.87,67.07,65.91,66.04,580692,703318
09/08/2016,16:00,66.04,66.15,65.78,66.05,616573,526121
09/09/2016,13:30,66.1,66.51,65.48,65.66,647835,652784
09/09/2016,16:00,65.65,66.19,65.37,65.95,774556,649891
09/12/2016,13:30,65.56,66.97,65.1,66.5,458151,357714
09/12/2016,16:00,66.5,67.74,66.41,67.52,427592,403039
09/13/2016,13:30,67.32,67.69,66.69,67.69,314199,313152
09/13/2016,16:00,67.7,67.84,67.14,67.59,346284,316892
09/14/2016,13:30,67.86,68.33,66.97,68.0,318875,340729
09/14/2016,16:00,67.99,68.04,67.44,67.69,237890,248867
09/15/2016,13:30,67.66,67.94,67.22,67.68,330349,371380
09/15/2016,16:00,67.69,67.84,67.15,67.35,403385,409875
09/16/2016,13:30,66.95,67.21,66.12,66.23,370341,366926
09/16/2016,16:00,66.26,66.66,66.03,66.31,344765,378888
09/19/2016,13:30,66.88,66.88,65.64,65.65,562895,599022
09/19/2016,16:00,65.66,66.1,65.45,65.48,368066,467164
09/20/2016,13:30,66.12,68.48,66.01,68.29,1033420,1031337
09/20/2016,16:00,68.29,68.75,68.23,68.42,451411,386271
09/21/2016,13:30,68.65,68.82,67.17,67.34,278929,302243
09/21/2016,16:00,67.33,67.93,67.06,67.85,445456,361339
09/22/2016,13:30,68.25,71.0,68.22,70.95,1102057,1074566
09/22/2016,16:00,70.95,71.1,70.57,70.99,731008,647982
09/23/2016,13:30,70.52,72.06,69.85,71.87,622633,629075
09/23/2016,16:00,71.85,72.31,71.64,71.99,510427,499872
09/26/2016,13:30,72.46,73.38,70.74,71.02,806762,869201
09/26/2016,16:00,71.01,71.57,70.99,71.46,479954,470411
09/27/2016,13:30,71.67,73.88,71.57,73.84,802676,863988
09/27/2016,16:00,73.84,74.43,73.82,74.37,626109,618170
09/28/2016,13:30,74.67,74.84,73.64,74.2,494993,437069
09/28/2016,16:00,74.21,74.46,73.97,74.21,383093,390542
09/29/2016,13:30,73.92,74.56,73.7,74.01,443003,499149
09/29/2016,16:00,74.01,74.51,73.84,74.24,404524,379192
09/30/2016,13:30,74.51,75.73,73.96,75.24,487370,438223
09/30/2016,16:00,75.25,75.47,74.92,74.94,240735,278436
10/03/2016,13:30,74.49,75.36,74.03,74.45,272299,329247
10/03/2016,16:00,74.46,74.72,74.44,74.57,178083,212632
10/04/2016,13:30,75.23,75.37,74.49,74.59,312048,316866
10/04/2016,16:00,74.59,75.25,74.53,75.23,449049,396476
10/05/2016,13:30,75.0,75.5,74.29,75.17,568122,649399
